PROVINCE,urban,age,gender,I1_3_1,party,army,sec_lan,f_b_hukou,f_n_hukou,m_b_hukou,m_n_hukou,b_hukou,n_hukou,local_hukou,migrant_hukou,cungaiju,u_w_m,u_c_m,r_m,p_m,uint_add_m,br_m,bus_m,I1_20_1,I1_20_2,n_r_o_i,I1_20_4,I1_20_5,I1_21,I1_22_1,I1_22_2,I1_22_3,tech_edu,I2_10,work_exp,I3a1_1,I3a1_2,I3a1_5,I3a1_9,I3a1_14,I3a1_16_1,I3a1_16_2,I3a1_16_3,I3a1_19_1,I3a1_19_2,I3a1_19_3,I3a1_20_1,I3a1_20_2,I3a1_20_3,I3a1_20_4,I3a1_20_5,I3a1_20_7,I3a1_20_8,I3a1_20_9,I3a1_21,I3a2_1,friend,psychofriend,discussfriend,moneyfriend,memberelect,happy,happycp,I7_7_1,I7_7_2,I7_9,soccls,b_soccls,I7_10_3_1,t_soccls,soctrs,I9_1,I9_2,arm,health,I9_5,I9_6,ill,I9_8,I9_9,I9_10,I9_11,I9_12,I9_14,interviewway,reject,impat,itviewer_trust,fudge,colla,rely,lang,sinitviewer,look,sinitviewee,y,belief,edu,fedu,medu,jobmean,dinner,socresp,localsc,comlk,plan
江苏,0,51,0,江苏,0,0,0,农业户口,农业户口,农业户口,农业户口,农业户口,农业户口,是,0,0,0,0,是,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,是,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,11-15个,4-6个,1-3个,1-3个,居/村委要求去投票,6非常幸福,5,很少,有时,比较公平,8,6,8,3,同意,153,106,150,健康,从来没有,从来没有,0,0,0,非常不信任,比较信任,0,0,访问员访填,从未,从未,高,不像是,合作,可靠,普通话,0,6,0,1,0,2,1,1,-1,-1,0,1,2,8
河北,农村,47,男,河北,0,0,0,非农户口,非农户口,非农户口,非农户口,非农户口,0,是,0,0,是,0,0,0,0,0,0,是,0,0,0,0,0,0,0,0,0,0,是,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1-5个,一个也没有,一个也没有,1-3个,没去投票,3,2,没有,总是,比较公平,0,7,0,6,同意,170,150,160,一般,总是,从来没有,0,0,0,比较信任,一般,是,0,访问员访填,从未,从未,很高,完全没有,很合作,很可靠,当地方言,是,4,1,1,0,1,-999,2,0,0,-1,1,0,1
广东,0,52,男,广东,0,0,0,农业户口,农业户口,农业户口,农业户口,农业户口,农业户口,是,0,0,0,0,0,0,是,0,0,0,0,0,0,0,0,0,0,0,0,0,是,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,一个也没有,0,0,0,没去投票,3,3,经常,经常,比较不公平,5,5,6,1,同意,175,151,173,一般,从来没有,经常,0,0,0,一般,比较信任,是,是,访问员访填,从未,从未,高,不像是,合作,可靠,当地方言,是,8,0,1,1,1,2,1,-1,3,-1,1,-1,2
陕西,0,50,男,陕西,0,0,0,农业户口,农业户口,农业户口,农业户口,农业户口,农业户口,是,0,0,0,0,是,0,0,0,0,0,0,是,0,0,0,0,0,0,0,0,是,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6-10个,1-3个,1-3个,4-6个,自己主动投票,4,4,经常,经常,比较公平,4,4,0,0,同意,169,120,160,健康,从来没有,从来没有,0,0,0,比较信任,比较信任,是,是,访问员访填,从未,从未,高,不像是,合作,可靠,普通话,是,8,0,1,0,3,1,1,0,-999,0,1,1,8
广西,0,40,男,广西,0,0,0,农业户口,不适用,农业户口,农业户口,不清楚,农业户口,是,是,0,0,0,是,0,0,0,0,0,0,是,0,0,0,0,0,0,0,0,是,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,16个或16个以上,6-8个,6-8个,一个也没有,居/村委要求去投票,3,3,没有,没有,说不上公平但也不能说不公平,3,1,7,1,不同意,158,100,158,一般,从来没有,从来没有,0,0,0,比较信任,一般,是,是,访问员访填,从未,从未,高,不像是,合作,可靠,当地方言,0,6,0,1,0,1,1,1,0,-1,-1,1,0,8
湖北,0,45,男,湖北,0,0,0,农业户口,农业户口,农业户口,农业户口,农业户口,农业户口,是,0,0,0,0,是,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,是,0,0,是,0,是,完全由他人决定,完全由他人决定,完全由他人决定,经常,经常,经常,经常,从不,从不,有时,经常,有时,-999,-999,有,-999,1-5个,一个也没有,一个也没有,1-3个,没去投票,4,4,很少,总是,比较不公平,3,2,4,2,同意,168,150,168,比较不健康,经常,从来没有,0,0,20,比较信任,一般,0,是,访问员访填,从未,从未,很高,完全没有,很合作,很可靠,普通话,是,6,0,1,0,1,1,1,1,0,0,1,0,8
湖北,农村,52,男,湖北,中共党员,是,0,农业户口,不适用,农业户口,不适用,非农户口,0,是,0,0,是,0,0,是,0,是,是,是,0,0,0,0,是,是,是,是,0,有,是,是,0,0,需要,0,完全由自己决定,完全由自己决定,完全由自己决定,从不,经常,经常,经常,从不,从不,有时,-999,经常,有时,有时,有,-999,16个或16个以上,9个以上,1-3个,9个以上,没去投票,5,5,没有,经常,比较公平,5,5,5,4,同意,176,130,175,健康,从来没有,从来没有,0,0,0,非常信任,非常信任,是,是,部分通过第三者翻译由访问员访填,从未,从未,高,不像是,合作,可靠,普通话,0,6,1,1,0,4,1,1,0,0,0,1,2,2
广西,0,58,0,广西,0,0,0,农业户口,农业户口,农业户口,农业户口,农业户口,农业户口,是,0,0,0,0,是,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,一个也没有,0,0,0,没去投票,6非常幸福,3,没有,经常,完全不公平,1,1,3,1,同意,148,100,148,非常不健康,经常,从来没有,是,0,180,比较信任,比较信任,0,0,访问员访填,从未,偶尔,高,完全没有,很合作,可靠,普通话,0,-999,0,1,1,-999,1,1,-999,-1,1,1,1,8
浙江,0,56,0,浙江,0,0,0,农业户口,农业户口,农业户口,农业户口,农业户口,农业户口,是,0,0,0,0,是,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,是,是,0,0,0,0,完全由自己决定,完全由自己决定,完全由自己决定,从不,有时,从不,从不,从不,从不,很少,从不,从不,从不,从不,有,-999,11-15个,1-3个,1-3个,9个以上,自己主动投票,6非常幸福,6更幸福,没有,总是,比较公平,7,7,7,5,非常同意,161,141,161,非常健康,从来没有,有时,0,0,0,非常信任,非常信任,0,0,访问员访填,开始,有时,高,有些时候,合作,可靠,普通话,是,3,0,1,1,-999,1,1,2,-1,2,1,2,8
山东,0,47,0,山东,0,0,0,农业户口,农业户口,农业户口,农业户口,农业户口,农业户口,是,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,11-15个,1-3个,1-3个,1-3个,家人代投票,4,4,很少,很少,比较公平,0,0,0,4,同意,165,170,165,健康,很少,很少,0,0,0,一般,一般,0,0,访问员访填,从未,从未,高,不像是,合作,可靠,当地方言,是,6,0,1,0,1,1,1,-999,0,0,1,1,8
山东,农村,33,男,山东,0,0,是,农业户口,农业户口,农业户口,农业户口,农业户口,0,是,是,0,是,是,0,0,0,0,0,是,是,0,0,0,是,是,是,是,有,有,是,是,0,是,需要,0,部分由自己决定,部分由自己决定,部分由自己决定,从不,从不,经常,经常,经常,经常,经常,经常,经常,经常,经常,有,-999,1-5个,1-3个,1-3个,一个也没有,没去投票,5,4,没有,经常,完全不公平,4,2,0,2,同意,173,200,175,健康,从来没有,从来没有,0,0,0,比较信任,比较信任,是,是,访问员访填,开始,从未,高,有些时候,合作,可靠,普通话,0,8,0,0,0,4,2,2,-1,1,-1,1,0,9
辽宁,0,41,男,山东,0,0,0,农业户口,农业户口,农业户口,农业户口,农业户口,农业户口,0,是,0,0,0,是,0,0,0,0,0,0,是,0,0,0,0,0,0,0,0,是,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2012,6-10个,1-3个,1-3个,一个也没有,不适用,4,4,没有,总是,比较公平,3,3,9,2,同意,168,140,167,健康,从来没有,有时,0,0,0,比较信任,比较信任,是,是,访问员访填,从未,从未,高,不像是,合作,可靠,普通话,0,6,0,1,0,1,1,1,0,1,0,1,-1,8
广东,0,41,0,广东,0,0,是,农业户口,农业户口,农业户口,农业户口,农业户口,农业户口,是,是,0,0,0,是,0,0,0,0,0,0,是,0,0,0,0,0,0,0,0,是,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6-10个,4-6个,4-6个,一个也没有,居/村委要求去投票,4,4,没有,总是,说不上公平但也不能说不公平,6,4,4,2,同意,163,96,160,一般,从来没有,从来没有,0,0,0,比较信任,一般,0,0,访问员访填,从未,从未,很高,完全没有,很合作,很可靠,当地方言,0,8,0,1,0,3,1,1,-2,0,1,1,1,8
重庆,农村,63,0,重庆,0,0,0,农业户口,不适用,农业户口,不适用,农业户口,0,是,0,是,0,是,0,0,0,0,0,0,是,0,0,0,0,0,0,0,0,0,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,16个或16个以上,4-6个,1-3个,1-3个,自己主动投票,5,5,没有,经常,比较公平,5,6,5,3,不同意,148,88,146,非常健康,很少,从来没有,0,0,0,一般,比较信任,0,0,访问员访填,开始,偶尔,高,完全没有,很合作,可靠,当地方言,是,7,0,0,0,-999,1,1,-999,1,0,1,0,8
河南,农村,59,男,河南,0,0,0,非农户口,不适用,非农户口,不适用,非农户口,0,是,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1-5个,1-3个,1-3个,一个也没有,没去投票,3,3,有时,经常,比较不公平,3,3,3,5,同意,175,140,169,健康,很少,从来没有,0,0,0,比较信任,一般,是,0,访问员访填,最后,有时,低,有些时候,合作,可靠,当地方言,0,6,1,0,0,1,1,1,-999,-1,0,1,-1,8
广东,0,54,0,广东,0,0,0,农业户口,非农户口,农业户口,农业户口,农业户口,农业户口,是,是,0,0,0,是,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,是,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,一个也没有,0,0,0,没去投票,4,4,很少,经常,说不上公平但也不能说不公平,5,5,6,5,同意,157,130,155,一般,很少,很少,是,0,0,一般,一般,0,0,访问员访填,从未,偶尔,高,不像是,合作,可靠,当地方言,是,6,0,1,0,-999,1,1,-1,-1,1,1,-1,8
新疆,0,60,0,新疆,0,0,0,农业户口,不适用,农业户口,不适用,农业户口,农业户口,是,0,0,0,0,是,0,0,0,0,0,0,是,0,0,0,0,0,0,0,0,是,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1-5个,一个也没有,一个也没有,一个也没有,自己主动投票,6非常幸福,6更幸福,很少,没有,比较公平,2,1,5,2,同意,150,80,153,比较不健康,很少,很少,是,0,60,比较信任,比较信任,0,0,部分通过第三者翻译由访问员访填,从未,从未,高,不像是,合作,可靠,当地方言,0,6,0,1,1,2,-999,-999,1,2,0,1,-2,8
重庆,农村,36,0,重庆,0,0,是,农业户口,农业户口,农业户口,农业户口,农业户口,0,是,是,0,是,0,0,是,0,0,0,是,0,0,0,0,是,0,是,是,有,有,是,0,0,是,需要,0,部分由自己决定,部分由自己决定,完全由他人决定,从不,从不,从不,很少,很少,很少,有时,经常,有时,有时,从不,有,-999,6-10个,1-3个,1-3个,1-3个,没去投票,6非常幸福,6更幸福,很少,很少,比较公平,7,7,8,4,同意,163,120,161,非常健康,从来没有,从来没有,0,0,0,比较不信任,比较信任,0,0,访问员访填,开始,有时,高,不像是,很合作,可靠,当地方言,0,7,0,1,0,3,1,1,1,1,0,0,0,8
安徽,0,53,0,安徽,0,0,0,农业户口,农业户口,农业户口,农业户口,农业户口,农业户口,是,0,0,0,0,是,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,是,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6-10个,1-3个,4-6个,4-6个,自己主动投票,4,4,很少,有时,说不上公平但也不能说不公平,6,4,7,3,不同意,156,120,150,比较不健康,很少,很少,0,0,0,一般,一般,0,0,访问员访填,从未,从未,高,不像是,合作,可靠,当地方言,是,6,1,1,0,1,1,1,1,-999,0,0,0,8
甘肃,0,58,0,甘肃,0,0,0,农业户口,不适用,农业户口,不适用,农业户口,农业户口,是,0,0,0,0,是,0,0,0,0,0,0,是,0,0,0,0,0,0,0,0,是,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,11-15个,1-3个,1-3个,1-3个,没去投票,6非常幸福,5,没有,没有,比较不公平,1,1,1,1,非常同意,150,74,136,非常不健康,有时,经常,是,0,0,比较信任,比较不信任,0,0,访问员访填,从未,偶尔,高,不像是,合作,可靠,当地方言,是,3,1,1,1,1,1,1,0,-999,1,0,0,8
甘肃,0,16,男,甘肃,0,0,0,农业户口,非农户口,农业户口,农业户口,农业户口,农业户口,是,0,0,0,0,是,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,一个也没有,0,0,0,不适用,4,5,总是,有时,比较公平,5,4,7,5,同意,174,128,170,比较不健康,有时,从来没有,是,0,7,比较信任,比较信任,0,0,访问员访填,最后,偶尔,高,不像是,合作,可靠,普通话,是,6,0,1,0,1,2,1,-999,-999,-2,1,-1,2
青海,农村,42,男,青海,0,0,0,非农户口,非农户口,不适用,不适用,非农户口,0,是,是,0,是,是,0,0,0,0,0,0,是,0,0,0,0,0,0,0,有,0,是,0,是,0,需要,0,部分由自己决定,部分由自己决定,部分由自己决定,从不,经常,经常,经常,有时,经常,-999,-999,-999,-999,-999,有,-999,6-10个,1-3个,1-3个,1-3个,不适用,5,5,没有,很少,比较公平,3,3,5,5,同意,160,120,160,健康,从来没有,有时,0,0,0,非常信任,一般,是,是,访问员访填,从未,从未,低,不像是,合作,可靠,当地方言,0,6,0,0,0,3,3,1,1,0,-1,1,-1,2
福建,农村,62,0,福建,0,0,0,非农户口,非农户口,非农户口,非农户口,非农户口,0,是,是,0,0,是,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,是,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1-5个,一个也没有,一个也没有,一个也没有,没去投票,5,5,没有,总是,说不上公平但也不能说不公平,5,4,5,2,同意,148,102,148,一般,从来没有,从来没有,0,0,0,一般,一般,0,0,访问员访填,从未,从未,很高,完全没有,很合作,很可靠,普通话,是,4,0,0,0,1,1,1,-1,-1,0,1,-1,8
浙江,农村,50,男,浙江,0,0,是,农业户口,农业户口,农业户口,农业户口,农业户口,农业户口,是,0,0,0,0,是,是,0,0,0,0,0,0,0,0,0,0,0,0,0,0,是,是,0,是,0,是,完全由自己决定,完全由自己决定,完全由自己决定,从不,从不,从不,-999,-999,-999,-999,经常,有时,-999,从不,有,-999,1-5个,1-3个,4-6个,1-3个,家人代投票,4,6更幸福,总是,经常,比较公平,5,5,8,3,不同意,172,170,168,非常健康,从来没有,从来没有,0,0,0,比较信任,非常信任,是,是,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,0,1,1,1,1,1,0,0,2,0,1,2
黑龙江,0,56,0,山东,0,0,0,农业户口,不适用,农业户口,不适用,农业户口,农业户口,是,是,0,0,0,是,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,是,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,一个也没有,0,0,0,自己主动投票,6非常幸福,6更幸福,没有,有时,说不上公平但也不能说不公平,5,5,5,1,不同意,165,136,160,一般,有时,从来没有,0,0,2,比较信任,一般,0,0,访问员访填,从未,偶尔,高,有些时候,合作,不可靠,普通话,是,4,0,0,0,-999,1,1,-2,-1,0,1,1,8
广东,农村,36,男,黑龙江,0,0,0,农业户口,农业户口,农业户口,农业户口,农业户口,农业户口,0,0,0,0,0,是,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,是,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6-10个,4-6个,4-6个,9个以上,自己主动投票,5,5,没有,总是,完全公平,0,3,8,0,同意,175,160,167,健康,从来没有,从来没有,0,0,0,比较信任,非常信任,是,0,访问员访填,从未,从未,很高,完全没有,很合作,很可靠,普通话,是,7,0,0,1,2,3,2,0,-999,0,1,0,5
安徽,0,63,男,安徽,0,0,0,农业户口,不适用,农业户口,不适用,农业户口,农业户口,是,0,0,0,0,是,0,0,0,0,0,0,是,0,0,0,0,0,0,0,0,是,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,16个或16个以上,4-6个,4-6个,4-6个,没去投票,5,5,没有,经常,比较公平,3,4,4,1,同意,162,112,162,健康,有时,很少,0,0,0,比较信任,比较信任,是,是,部分通过第三者翻译由访问员访填,从未,从未,高,不像是,合作,很可靠,普通话,是,4,0,1,0,-999,1,1,0,-1,0,1,1,8
